POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Sebastian Vettel,FERRARI,57,01:24:12,25
2,44,Lewis Hamilton,MERCEDES,57,+9.975s,18
3,77,Valtteri Bottas,MERCEDES,57,+11.250s,15
4,7,Kimi Räikkönen,FERRARI,57,+22.393s,12
5,33,Max Verstappen,RED BULL RACING TAG HEUER,57,+28.827s,10
6,19,Felipe Massa,WILLIAMS MERCEDES,57,+83.386s,8
7,11,Sergio Perez,FORCE INDIA MERCEDES,+56,1 lap,6
8,55,Carlos Sainz,TORO ROSSO,56,+1 lap,4
9,26,Daniil Kvyat,TORO ROSSO,56,+1 lap,2
10,31,Esteban Ocon,FORCE INDIA MERCEDES,56,+1 lap,1
11,27,Nico Hulkenberg,RENAULT,56,+1 lap,0
12,36,Antonio Giovinazzi,SAUBER FERRARI,55,+2 laps,0
13,2,Stoffel Vandoorne,MCLAREN HONDA,55,+2 laps,0
NC,14,Fernando Alonso,MCLAREN HONDA,50,DNF,0
NC,20,Kevin Magnussen,HAAS FERRARI,46,DNF,0
NC,18,Lance Stroll,WILLIAMS MERCEDES,40,DNF,0
NC,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,25,DNF,0
NC,9,Marcus Ericsson,SAUBER FERRARI,21,DNF,0
NC,30,Jolyon Palmer,RENAULT,15,DNF,0
NC,8,Romain Grosjean,HAAS FERRARI,13,DNF,0
