POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS
1,44,Lewis Hamilton,MERCEDES,1:33.333,1:32.406,1:31.678,13
2,5,Sebastian Vettel,FERRARI,1:33.078,1:32.391,1:31.864,15
3,77,Valtteri Bottas,MERCEDES,1:33.684,1:32.552,1:31.865,14
4,7,Kimi Räikkönen,FERRARI,1:33.341,1:32.181,1:32.140,15
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:34.041,1:33.546,1:33.033,12
6,19,Felipe Massa,WILLIAMS MERCEDES,1:34.205,1:33.759,1:33.507,14
7,27,Nico Hulkenberg,RENAULT,1:34.453,1:33.636,1:33.580,16
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:34.657,1:33.920,1:33.706,15
9,26,Daniil Kvyat,TORO ROSSO,1:34.440,1:34.034,1:33.719,17
10,18,Lance Stroll,WILLIAMS MERCEDES,1:33.986,1:34.090,1:34.220,18
11,55,Carlos Sainz,TORO ROSSO,1:34.567,1:34.150,,11
12,20,Kevin Magnussen,HAAS FERRARI,1:34.942,1:34.164,,12
13,14,Fernando Alonso,MCLAREN HONDA,1:34.499,1:34.372,,11
14,9,Marcus Ericsson,SAUBER FERRARI,1:34.892,1:35.046,,15
15,36,Antonio Giovinazzi,SAUBER FERRARI,1:34.963,,,8
16,2,Stoffel Vandoorne,MCLAREN HONDA,1:35.023,,,6
17,8,Romain Grosjean,HAAS FERRARI,1:35.223,,,6
18,30,Jolyon Palmer,RENAULT,1:35.279,,,6
19,33,Max Verstappen,RED BULL RACING TAG HEUER,1:35.433,,,7
20,31,Esteban Ocon,FORCE INDIA MERCEDES,1:35.496,,,8
